Package Name,Analyzer Version,Dev Version,Dev Date,Published Date,Published Version,Repository URL,Created At,Updated At
zac,>=4.6.0 <6.0.0,0.1.0-dev.4,2025-07-03T22:09:22.000,2023-01-03T11:24:05.000,0.1.0-dev.4,https://github.com/smiLLe/zac/tree/main/zac/packages/zac,2025-07-03T22:09:22.000,2025-07-03T22:09:22.000
generic_api_generator,^0.39.3,0.0.1,2025-07-03T22:09:21.000,2020-07-12T10:18:49.000,0.0.1,https://github.com/wenjunxiao/generic_api_generator.dart,2025-07-03T22:09:21.000,2025-07-03T22:09:21.000
mix_builder,,,2025-07-03T22:09:21.000,2024-06-05T19:40:58.000,0.0.1-dev.0,,2025-07-03T22:09:21.000,2025-07-03T22:09:21.000
flutterwind_core,^5.2.0,0.0.8,2025-07-03T22:09:20.000,2025-05-20T12:43:13.000,0.0.8,https://github.com/flutterwind/flutterwind/tree/main,2025-07-03T22:09:20.000,2025-07-03T22:09:20.000
flutterannotations,,,2025-07-03T22:09:19.000,2019-04-11T03:42:52.000,1.0.2,https://github.com/biminds/flutter_annotations.git,2025-07-03T22:09:19.000,2025-07-03T22:09:19.000
wui_builder,^0.32.0,0.7.1,2025-07-03T22:09:18.000,2018-08-08T05:50:12.000,0.7.1,https://github.com/davidmarne/wui_builder,2025-07-03T22:09:18.000,2025-07-03T22:09:18.000
casper_dart_sdk,^3.2.0,0.1.3,2025-07-03T22:09:17.000,2022-06-26T14:02:30.000,0.1.3,https://github.com/cdolaz/casper_dart_sdk,2025-07-03T22:09:17.000,2025-07-03T22:09:17.000
flutterannotations_generator,,,2025-07-03T22:09:17.000,2019-04-11T03:44:42.000,1.0.2,,2025-07-03T22:09:17.000,2025-07-03T22:09:17.000
dart_firebase_functions_builder,,unknown,2025-07-03T22:09:16.000,2024-06-08T10:03:07.000,0.0.1-dev.1,https://github.com/kosukesaigusa/dart_firebase_functions,2025-07-03T22:09:16.000,2025-07-03T22:09:16.000
yalo,^4.1.0,3.0.0,2025-07-03T22:09:15.000,2022-06-28T03:45:54.000,3.0.0,https://github.com/alphamikle/yalo,2025-07-03T22:09:15.000,2025-07-03T22:09:15.000
l10n,>=0.32.0 <1.0.0,2.0.19,2025-07-03T22:09:14.000,2019-03-04T08:01:41.000,2.0.19,https://github.com/MikeMitterer/dart-l10n-gettext,2025-07-03T22:09:14.000,2025-07-03T22:09:14.000
simple_tiles_map_offline,,,2025-07-03T22:09:13.000,2024-05-29T15:41:35.000,1.1.0,https://gitlab.com/danielquisbert/simple_tiles_map_offline,2025-07-03T22:09:13.000,2025-07-03T22:09:13.000
roundtripper,^4.1.0,0.4.0,2025-07-03T22:09:12.000,2022-05-26T01:06:22.000,0.4.0,https://github.com/v42one/dartx/tree/main/packages/roundtripper,2025-07-03T22:09:12.000,2025-07-03T22:09:12.000
simple_tiles_map,^5.13.0,2.1.1,2025-07-03T22:09:11.000,2025-03-10T15:43:46.000,2.1.1,https://github.com/danielquisbert/simple_tiles_map,2025-07-03T22:09:11.000,2025-07-03T22:09:11.000
sqfentity_gen_fix,^5.12.0,2.3.1+5,2025-07-03T22:09:11.000,2023-06-28T08:34:49.000,2.3.2+6,https://github.com/qijie07/sqfentity_gen,2025-07-03T22:09:11.000,2025-07-03T22:09:11.000
eyflutter_core,^1.7.2,0.0.3+2,2025-07-03T22:09:10.000,2023-08-04T09:21:22.000,0.0.15+10,https://github.com/eyinfo/eyflutter_core,2025-07-03T22:09:10.000,2025-07-03T22:09:10.000
go_router_path_builder,^6.2.0,0.0.1+6,2025-07-03T22:09:09.000,2024-01-09T03:44:56.000,0.0.1+6,https://github.com/haitr/go_router_path_builder,2025-07-03T22:09:09.000,2025-07-03T22:09:09.000
ivybaby_api,^5.13.0,0.1.3,2025-07-03T22:09:08.000,2023-08-15T07:24:13.000,0.1.3,https://github.com/johnshazhu/flutter_api_gen,2025-07-03T22:09:08.000,2025-07-03T22:09:08.000
mx_http,,,2025-07-03T22:09:08.000,2023-09-07T09:40:36.000,0.0.7+1,,2025-07-03T22:09:08.000,2025-07-03T22:09:08.000
xyz_gen,,,2025-07-03T22:09:07.000,2024-07-01T04:48:31.000,0.97.0,https://github.com/robmllze/xyz_gen,2025-07-03T22:09:07.000,2025-07-03T22:09:07.000
ac_geojson,^6.4.1,1.0.4,2025-07-03T22:09:06.000,2025-06-08T21:11:25.000,1.0.4,https://github.com/anycode/ac_geojson.dart,2025-07-03T22:09:06.000,2025-07-03T22:09:06.000
postal_jp,,,2025-07-03T22:09:06.000,2025-06-17T05:04:47.000,1.0.3,,2025-07-03T22:09:06.000,2025-07-03T22:09:06.000
stacked_generator,,,2025-07-03T22:09:05.000,2024-07-09T04:25:20.000,1.6.1,,2025-07-03T22:09:05.000,2025-07-03T22:09:05.000
endaft_core,^6.3.0,0.0.4,2025-07-03T22:09:04.000,2024-02-12T17:58:37.000,0.0.4-dev.11,https://github.com/endaft/endaft-core,2025-07-03T22:09:04.000,2025-07-03T22:09:04.000
braincloud,,,2025-07-03T22:09:04.000,2025-06-12T17:30:21.000,5.7.0,,2025-07-03T22:09:04.000,2025-07-03T22:09:04.000
dorm_generator,,,2025-07-03T22:09:03.000,2024-12-08T14:37:51.000,1.0.0-alpha.7,https://github.com/beet-software/dorm.git,2025-07-03T22:09:03.000,2025-07-03T22:09:03.000
ngrouter,,unknown,2025-07-03T22:09:03.000,2022-08-12T22:15:49.000,3.1.1,https://github.com/angulardart-community/angular,2025-07-03T22:09:03.000,2025-07-03T22:09:03.000
dart_eval,^6.9.0,0.7.11,2025-07-03T22:09:02.000,2025-06-24T01:44:06.000,0.7.11,https://github.com/ethanblake4/dart_eval,2025-07-03T22:09:02.000,2025-07-03T22:09:02.000
flutter_showcase,^0.39.6,0.0.7,2025-07-03T22:09:01.000,2020-04-22T14:16:17.000,0.1.0,https://github.com/jamesblasco/flutter_showcase,2025-07-03T22:09:01.000,2025-07-03T22:09:01.000
masamune_model_firebase_data_connect_builder,^7.0.0,3.0.6,2025-07-03T22:09:00.000,2025-07-01T07:43:25.000,3.0.6,https://github.com/mathrunet/flutter_masamune/tree/master/packages/masamune_model_firebase_data_connect_builder,2025-07-03T22:09:00.000,2025-07-03T22:09:00.000
flutter_showcase_nullsafety,,,2025-07-03T22:08:59.000,2021-12-25T10:31:19.000,1.0.0,,2025-07-03T22:08:59.000,2025-07-03T22:08:59.000
typesafe_postgrest,^7.4.5,0.2.0,2025-07-03T22:08:59.000,2025-06-25T09:21:49.000,0.2.0,https://github.com/JakesMD/typesafe-postgrest,2025-07-03T22:08:59.000,2025-07-03T22:08:59.000
playbook_generator,,unknown,2025-07-03T22:08:58.000,2025-06-12T04:43:41.000,1.1.0,https://github.com/playbook-ui/playbook-flutter,2025-07-03T22:08:58.000,2025-07-03T22:08:58.000
cbl_generator,,unknown,2025-07-03T22:08:57.000,2025-06-19T18:36:40.000,0.3.1+4,https://github.com/cbl-dart/cbl-dart,2025-07-03T22:08:57.000,2025-07-03T22:08:57.000
flutter_mcp,^7.4.1,1.0.4,2025-07-03T22:08:56.000,2025-06-28T17:46:47.000,1.0.4,https://github.com/app-appplayer/flutter_mcp,2025-07-03T22:08:56.000,2025-07-03T22:08:56.000
device_preview_community,,,2025-07-03T22:08:56.000,2022-03-28T08:39:00.000,1.0.3,https://github.com/the-mac/flutter_device_preview,2025-07-03T22:08:56.000,2025-07-03T22:08:56.000
trident_generator,,,2025-07-03T22:08:55.000,2020-05-25T23:16:14.000,1.0.2,https://github.com/Arxing/dart-trident,2025-07-03T22:08:55.000,2025-07-03T22:08:55.000
routable_builder,,,2025-07-03T22:08:54.000,2025-02-27T15:20:45.000,1.0.0,https://github.com/WeAreAthlon/routable,2025-07-03T22:08:54.000,2025-07-03T22:08:54.000
dartrofit_generator,^0.39.14,1.1.0,2025-07-03T22:08:52.000,2020-11-20T10:37:28.000,1.1.0,https://github.com/nikeorever/dartrofit/tree/trunk/dartrofit_generator,2025-07-03T22:08:52.000,2025-07-03T22:08:52.000
over_react,>=5.13.0 <7.0.0,5.4.4,2025-07-03T22:08:52.000,2025-04-15T00:28:10.000,5.4.4,https://github.com/Workiva/over_react/,2025-07-03T22:08:52.000,2025-07-03T22:08:52.000
masamune_model_firestore_builder,^7.0.0,3.0.6,2025-07-03T22:08:51.000,2025-07-01T07:43:00.000,3.0.6,https://github.com/mathrunet/flutter_masamune/tree/master/packages/masamune_model_firestore_builder,2025-07-03T22:08:51.000,2025-07-03T22:08:51.000
sarus,,,2025-07-03T22:08:50.000,2025-07-03T20:35:23.000,0.0.1-alpha.11,https://github.com/Prashant4900/sarus/,2025-07-03T22:08:50.000,2025-07-03T22:08:50.000
sqfentity_gen,,1.5.0,2025-07-03T22:08:50.000,2024-07-08T10:19:41.000,2.5.0,https://github.com/hhtokpinar/sqfEntity,2025-07-03T22:08:50.000,2025-07-03T22:08:50.000
network_inspector,^7.2.0,1.1.3,2025-07-03T22:08:48.000,2025-01-21T04:48:50.000,1.1.3,https://github.com/Meruya-Techhnology/network_inspector,2025-07-03T22:08:48.000,2025-07-03T22:08:48.000
growthbook_sdk_flutter,^6.2.0,3.9.11,2025-07-03T22:08:48.000,2025-03-18T15:37:09.000,3.9.10,https://github.com/growthbook/growthbook-flutter,2025-07-03T22:08:48.000,2025-07-03T22:08:48.000
desktop,,,2025-07-03T22:08:47.000,2025-02-22T23:40:34.000,5.1.3,https://github.com/adrianos42/desktop,2025-07-03T22:08:47.000,2025-07-03T22:08:47.000
dartrofit,^0.39.14,1.1.0,2025-07-03T22:08:46.000,2020-11-20T10:31:11.000,1.1.0,https://github.com/nikeorever/dartrofit/tree/trunk/dartrofit,2025-07-03T22:08:46.000,2025-07-03T22:08:46.000
rdf_vocabulary_to_dart,^7.4.4,0.9.1-dev,2025-07-03T22:08:45.000,2025-05-14T19:13:37.000,0.9.0,https://github.com/kkalass/rdf_vocabulary_to_dart,2025-07-03T22:08:45.000,2025-07-03T22:08:45.000
approval_tests_flutter,,,2025-07-03T22:08:44.000,2025-02-18T22:05:52.000,1.1.6,https://github.com/approvals/ApprovalTests.Flutter,2025-07-03T22:08:44.000,2025-07-03T22:08:44.000
flutter_screwdriver,^6.11.0,3.2.0,2025-07-03T22:08:43.000,2024-03-12T12:19:46.000,3.2.0,https://github.com/birjuvachhani/flutter_screwdriver,2025-07-03T22:08:43.000,2025-07-03T22:08:43.000
xwidget,^6.7.0,0.0.51,2025-07-03T22:08:43.000,2025-02-22T19:21:21.000,0.0.51,https://github.com/appfluent/xwidget,2025-07-03T22:08:43.000,2025-07-03T22:08:43.000
maas,,,2025-07-03T22:08:42.000,2025-04-10T06:14:19.000,0.0.10,https://git.firmer.tech/firmer/mesh,2025-07-03T22:08:42.000,2025-07-03T22:08:42.000
puppeteer,null,3.18.0,2025-07-03T22:08:41.000,2025-04-16T21:24:36.000,3.18.0,https://github.com/xvrh/puppeteer-dart,2025-07-03T22:08:41.000,2025-07-03T22:08:41.000
wahyz_bootstrap,,,2025-07-03T22:08:40.000,2024-12-22T03:28:22.000,0.0.4,https://github.com/WahyzDAD/wahyz_bootstrap,2025-07-03T22:08:40.000,2025-07-03T22:08:40.000
firestore_odm_builder,,1.0.0,2025-07-03T22:08:39.000,2025-07-03T02:32:58.000,3.1.0,https://github.com/sylphxltd/firestore_odm,2025-07-03T22:08:39.000,2025-07-03T22:08:39.000
jaguar_orm_gen,,,2025-07-03T22:08:38.000,2019-12-18T13:09:21.000,2.2.30,https://github.com/Jaguar-dart/jaguar_orm,2025-07-03T22:08:38.000,2025-07-03T22:08:38.000
route_pattern_generator,,,2025-07-03T22:08:37.000,2021-05-06T20:05:20.000,0.7.2,https://github.com/aloisdeniel/route_pattern_generator,2025-07-03T22:08:37.000,2025-07-03T22:08:37.000
everything_search_engine,^4.4.0,0.2.1,2025-07-03T22:08:36.000,2022-08-11T17:45:55.000,0.2.1,https://github.com/Krysl/DartPackage-EverythingSearchEngine,2025-07-03T22:08:36.000,2025-07-03T22:08:36.000
flutter_api_generator,^5.0.0,0.0.1,2025-07-03T22:08:35.000,2025-05-05T19:26:42.000,0.0.1,https://github.com/rocchen/flutter_api_generator,2025-07-03T22:08:35.000,2025-07-03T22:08:35.000
pg_dorm,,,2025-07-03T22:08:34.000,2024-09-01T09:31:49.000,0.0.1+3,https://github.com/gumi-apps/pg_dorm,2025-07-03T22:08:34.000,2025-07-03T22:08:34.000
backfit_generator,,,2025-07-03T22:08:34.000,2022-10-31T01:06:27.000,0.0.2+12,https://github.com/astralstriker/backfit,2025-07-03T22:08:34.000,2025-07-03T22:08:34.000
flutter_orm_generator,,,2025-07-03T22:08:33.000,2023-07-30T14:52:06.000,0.0.6,https://github.com/salehyarahmadi/flutter_orm,2025-07-03T22:08:33.000,2025-07-03T22:08:33.000
sonicdb,,,2025-07-03T22:08:32.000,2022-12-06T07:57:47.000,0.0.4,,2025-07-03T22:08:32.000,2025-07-03T22:08:32.000
eyflutter_gen,,0.0.1,2025-07-03T22:08:31.000,2022-07-03T01:41:28.000,0.0.2,https://github.com/eyinfo/eyflutter_gen,2025-07-03T22:08:31.000,2025-07-03T22:08:31.000
sql_engine,^7.4.4,2.0.4,2025-07-03T22:08:30.000,2025-06-29T12:02:46.000,2.0.4,https://github.com/snbrb/sql_engine,2025-07-03T22:08:30.000,2025-07-03T22:08:30.000
sunny_graphql_generator,,,2025-07-03T22:08:30.000,2022-05-04T08:51:48.000,1.28.1,,2025-07-03T22:08:30.000,2025-07-03T22:08:30.000
graphql_client_gen,>=4.6.0 <6.0.0,0.0.1,2025-07-03T22:08:29.000,2023-02-01T17:58:48.000,0.0.1,https://github.com/iandis/graphql_client_generator/tree/main/graphql_client_generator,2025-07-03T22:08:29.000,2025-07-03T22:08:29.000
firestorm,^7.3.0,0.1.1,2025-07-03T22:08:29.000,2025-07-01T16:34:34.000,0.1.1,https://github.com/RayLabz/Firestorm/tree/master/firestorm_flutter,2025-07-03T22:08:29.000,2025-07-03T22:08:29.000
